view,la vista
to reject,rechazar
to beg,rogar
cloudy,nublado
queen,la reina
goal,la meta
exercise,el ejercicio
festival,el festival
outside,afuera
to emphasize,destacar
nor,ni
to deceive,engañar
to pass,aprobar
piano,el piano
simple,sencillo
period,el punto
help,la ayuda
half,medio
to suffer,sufrir
to feel like,tener ganas de
direction,la dirección
mother-in-law,la suegra
roof,el techo
that,aquella
alcohol,el alcohol
challenge,el desafío
chain,la cadena
road,la pista
own,propio
strength,la fuerza
to toast,brindar
to continue,continuar
only,único
slowly,lentamente
hen,la gallina
just,acabar de
studio,el estudio
to heat,calentar
to save,salvar
depressed,deprimido
camping,el camping
challenge,el reto
to promise,prometer
shadow,la sombra
mine,mío
pleasure,el placer
father-in-law,el suegro
mayor,el alcalde
loose,flojo
parade,el desfile
ice,el hielo
shore,la orilla
classroom,el aula
thief,el ladrón
leisure,el ocio
surprise,la sorpresa
period,la etapa
to happen,ocurrir
smile,la sonrisa
to stand,soportar
pet,la mascota
risk,el riesgo
to contribute,aportar
annoyed,enfadado
at the moment,actualmente
sheep,la oveja
to train,entrenar
essential,imprescindible
perfect,perfecto
to promote,fomentar
to carry out,llevar a cabo
advantage,la ventaja
cap,el gorro
bargain,la ganga
butterfly,la mariposa
wealth,la riqueza
to establish,establecer
frog,la rana
to guess,adivinar
to influence,influir
bathtub,la bañera
tornado,el tornado
bird,el ave
godmother,la madrina
jealousy,los celos
to organize,organizar
curly,rizado
to catch,atrapar
widowed,viudo
fair,la feria
to peel,pelar
to convince,convencer
homework,los deberes
learning,el aprendizaje
avocado,el aguacate
growth,el crecimiento
impressive,impresionante
to participate,participar
to advance,avanzar
to spread,difundir
to laugh,reírse
feature,el rasgo
childhood,la niñez
whale,la ballena
to go for a walk,dar un paseo
freeway,la autopista
worker,el obrero
robot,el robot
bolt of lightning,el relámpago
mature,maduro
monitor,el monitor
soldier,el/la soldado
to repair,reparar
sign,el letrero
to feel like,apetecer
device,el aparato
grade,la nota
shortage,la escasez
search,la búsqueda
to exist,existir
steering wheel,el volante
debt,la deuda
thunder,el trueno
peach,el durazno
to forgive,perdonar
ever,alguna vez
pressure,la presión
Chinese,chino
education,la enseñanza
surface,la superficie
thought,el pensamiento
complaint,la queja
sadness,la tristeza
to found,fundar
to agree with,estar de acuerdo
powerful,poderoso
happiness,la felicidad
parking lot,el estacionamiento
announcer,el locutor
proposal,la propuesta
expense,el gasto
to hide oneself,esconderse
frozen,congelado
ball,el balón
ability,la habilidad
above all,sobre todo
to row,remar
to get worse,empeorar
reserved,reservado
to twist,torcerse
living room,el salón
to live together,convivir
ant,la hormiga
to kidnap,secuestrar
merchant,el/la comerciante
myth,el mito
to cure,curar
to collect,coleccionar
blackboard,el pizarrón
outskirts,las afueras
great-grandfather,el bisabuelo
necessary,necesario
athletic,atlético
anxiety,la ansiedad
stationery store,la papelería
friendly,acogedor
special,especial
to predict,predecir
to stand up,pararse
cohabitation,la convivencia
cake,la tarta
fantastic,fenomenal
drum,el tambor
surprising,sorprendente
cake shop,la pastelería
cooked,cocido
recess,el recreo
to take up,ocupar
to express,expresar
to get dirty,ensuciar
congratulations,enhorabuena
to criticize,criticar
to propel,impulsar
mustard,la mostaza
to affect,afectar
gastronomy,la gastronomía
to remove,eliminar
to communicate,comunicar
to collaborate,colaborar
to emit,emitir
great-grandmother,la bisabuela
X-ray,la radiografía
to donate,donar
commercial,el comercial
hobby,la afición
to take a walk,dar una caminata
colony,la colonia
to examine,examinar
possible,posible
toast,el brindis
to promote,ascender
honest,honrado
to fabricate,fabricar
tourism,el turismo
probable,probable
to skateboard,andar en patineta
pajamas,el/la pijama
pedestrian,el peatón
to declare,declarar
labor,laboral
to invent,inventar
warranty,la garantía
studies,los estudios
to pay attention,prestar atención
belief,la creencia
routine,la rutina
honest,honesto
to install,instalar
self-portrait,el autorretrato
optimistic,optimista
reserve,la reserva
access,el acceso
variety,la variedad
to be in fashion,estar de moda
flute,la flauta
massage,el masaje
semester,el semestre
environmental,ambiental
in front of,frente a
supportive,solidario
fundamental,fundamental
gymnastics,la gimnasia
emotion,la emoción
enthusiasm,el entusiasmo
to pack,hacer las maletas
postcard,la tarjeta postal
Cuban,el cubano
burn,la quemadura
sector,el sector
calm,la tranquilidad
platform,el andén
chemical,químico
boarding pass,la tarjeta de embarque
dictatorship,la dictadura
research,la investigación
ruins,las ruinas
gel,el gel
uniform,el uniforme
screenwriter,el/la guionista
spontaneous,espontáneo
uncomfortable,incómodo
to stop over,hacer escala
sleeping bag,el saco de dormir
bathroom,el cuarto de baño
programmer,el programador
flight attendant,el/la auxiliar de vuelo
watermelon,la sandía
main course,el plato principal
logical,lógico
identity,la identidad
trumpet,la trompeta
to think about,pensar en
to use the computer,usar la computadora
obedient,obediente
to remember to,acordarse de
adventurous,aventurero
container,el contenedor
to brush one's teeth,lavarse los dientes
renewable,renovable
to squander,derrochar
to sculpt,esculpir
autobiography,la autobiografía
air-conditioning,el aire acondicionado
finance,las finanzas
invention,el invento
tolerant,tolerante
Moroccan,marroquí
innovative,innovador
organization,la organización
opinion,la opinión
statement,la declaración
to surf the Internet,navegar por Internet
tablet,la tableta
to work out,hacer gimnasia
archaeologist,el arqueólogo
production,la producción
vegetarian,el vegetariano
to have a fever,tener fiebre
North American,norteamericano
follower,el seguidor
french fry,la patata frita
narrator,el narrador
to finance,financiar
tolerance,la tolerancia
to be on vacation,estar de vacaciones
lentil,la lenteja
ambulance,la ambulancia
masterpiece,la obra maestra
to say goodbye to,despedirse de
ceremony,la ceremonia
injustice,la injusticia
constitution,la constitución
identification,la identificación
to clean the house,limpiar la casa
sandwich,el sándwich
driver's license,la licencia de conducir
to forget,olvidarse de
creativity,la creatividad
cooperation,la cooperación
advisable,recomendable
locksmith,el cerrajero
informative,informativo
emergency room,sala de emergencia
clinic,la clínica
civilization,la civilización
email address,la dirección electrónica
vitamin,la vitamina
contaminating,contaminante
orange juice,zumo de naranja
holiday,el día festivo
to make decisions,tomar decisiones
explosion,la explosión
erosion,la erosión
calorie,la caloría
subway station,la estación de metro
to be online,estar en línea
opera,la ópera
sense of humor,el sentido del humor
see you later,hasta luego
remote control,el control remoto
social worker,el trabajador social
cell phone,el teléfono celular
talk show,programa de entrevistas
train station,la estación de tren
single room,habitación individual
videoconference,la videoconferencia
to ride,montar
care,el cuidado
to enter,entrar
to achieve,cumplir
inside,dentro
on top,encima
to realize,darse cuenta
to flee,huir
to dry,secarse
strange,extraño
school,el colegio
to be worth,valer
way,la manera
dawn,el amanecer
to hang,colgar
question,la pregunta
to weigh,pesar
level,el nivel
dawn,la madrugada
to itch,picar
to check,comprobar
chest,el pecho
state,el estado
club,el club
to turn on,prender
effort,el esfuerzo
together,junto
to come,acudir
stingy,tacaño
half,la mitad
to overcome,superar
broken,roto
to mark,marcar
joint,conjunto
to turn,girar
beauty,la belleza
to take off,despegar
to water,regar
to get ready,arreglarse
son-in-law,el yerno
end,el fin
sand,la arena
mountain range,la sierra
wound,la herida
empty,vacío
silk,la seda
frying pan,el/la sartén
to sign,firmar
stop,la parada
to make oneself,hacerse
handkerchief,el pañuelo
to carry out,desempeñar
danger,el peligro
place,el sitio
lie,la mentira
crème caramel,el flan
large,gran
daughter-in-law,la nuera
to find out,enterarse
to warn,advertir
wolf,el lobo
to arise,surgir
to distribute,repartir
to plan,planear
willing,dispuesto
