last night,anoche
hardly ever,casi nunca
rarely,rara vez
almost every day,casi todos los días
very often,muy a menudo
almost always,casi siempre
every day,todos los días
quickly,deprisa
luckily,por suerte
reluctantly,de mala gana
sadly,con tristeza
fashionably,a la moda
at dawn,al amanecer
secretly,a escondidas
actually,en realidad
once and for all,de una vez por todas
at the same time,a la vez
carefully,con cuidado
at night,de noche
on time,a tiempo
by heart,de memoria
unfortunately,por desgracia
suddenly,de pronto
willingly,de buena gana
at home,en casa
in the dark,a oscuras
at dusk,al anochecer
seriously,en serio
immediately,de inmediato
every day,a diario
initially,al principio
perfectly,a la perfección
carelessly,descuidadamente
really,de verdad
in the daytime,de día
in the end,al final
blindly,a ciegas
easily,fácilmente
voluntarily,voluntariamente
marvelously,estupendamente
carefully,cuidadosamente
intelligently,inteligentemente
seriously,seriamente
sweetly,dulcemente
clearly,claramente
a little,algo
less,menos
weekly,semanalmente
previously,previamente
the day before yesterday,anteayer
occasionally,ocasionalmente
briefly,brevemente
recently,recientemente
the night before last,anteanoche
tomorrow,mañana
today,hoy
above,encima
exactly,exactamente
noisily,estrepitosamente
usually,usualmente
right now,en este momento
currently,actualmente
slowly,pausadamente
deliberately,deliberadamente
that's right,así es
appropriately,apropiadamente
so much,tanto
further away,más lejos
badly,mal
cheaply,barato
probably,probablemente
in between,entremedio
in the way,en medio
altogether,en total
in general,en general
nicely,bonito
everywhere,por todas partes
more or less,más o menos
approximately,aproximadamente
where,adonde
on time,puntual
vertically,verticalmente
silently,silenciosamente
before,antes de
only,solamente
tonight,esta noche
right now,ahorita
in person,en persona
personally,personalmente
outside,fuera
twice as much,doble
inside,dentro
how,cómo
sometime,alguna vez
generally,generalmente
mostly,en su mayoría
principally,principalmente
previously,anteriormente
such,tal
normally,normalmente
finally,finalmente
finally,por fin
also,asimismo
ahead,delante
terribly,fatal
sometimes,a veces
behind,atrás
with hope,con esperanza
with luck,con suerte
so-so,así así
quickly,rápidamente
equally,igualmente
great,fenómeno
suddenly,de repente
above,arriba
a lot,cantidad
as soon as,en cuanto
besides,además
forward,adelante
sharply,en seco
sharp,en punto
clearly,claro
sufficiently,suficientemente
there,ahí
online,online
here,acá
commonly,comúnmente
therefore,por consiguiente
therefore,por lo tanto
before,antes
slowly,despacito
a long time ago,hace mucho
since then,desde entonces
out,afuera
fully,de lleno
slowly,despacio
far,lejos
immediately,inmediatamente
very well,muy bien
extremely,sumamente
above all,sobre todo
as,según
the more,cuanto
completely,completamente
from start to finish,de principio a fin
still like that,aún así
well,lindo
below,abajo
never,jamás
even,siquiera
even,incluso
soon,pronto
later,más tarde
together,junto
around,alrededor
unfortunately,desgraciadamente
equally,por igual
close,cerca
hardly,apenas
instead,en lugar de eso
instead,en cambio
maybe,tal vez
almost,casi
so-so,regular
on the back,al dorso
again,de nuevo
too,demasiado
however,sin embargo
never,nunca
properly,adecuadamente
directly,directamente
just,justo
correctly,correctamente
surely,seguro
first,primero
worse,peor
attentively,atentamente
loudly,fuerte
diligently,afanosamente
hard,duro
hard,fuertemente
then,luego
still,todavía
better,mejor
often,con frecuencia
frequently,frecuentemente
often,a menudo
here,aquí
neither,tampoco
now,ahora
daily,diariamente
just,solamente
late,tarde
very,muy
a lot,mucho
a lot of,mucho
why,por qué
so,tan
after,después
yesterday,ayer
enough,bastante
more,más
well,bien
when,cuando
where,donde
always,siempre
already,ya
also,también
as,como
