country,el país
plane,el avión
square,la plaza
car,el coche
shortcut,el atajo
side path,el desecho
compass,la brújula
trek,la caminada
boarding house,la residencia
guesthouse,la fonda
to get in,montarse en
to reach,alcanzar
spa,el spa
visitor,el/la visitante
citizen,el ciudadano
landscape,el paisaje
distance,la distancia
bus station,la estación de autobuses
train station,estación de ferrocarril
road trip,el viaje por carretera
vacancy,habitación libre
seashore,la orilla del mar
long weekend,el puente
lodging,el hospedaje
accommodations,el alojamiento
to set off,partir
to traverse,recorrer
map,el mapa
to return,volver
return,la vuelta
to camp,acampar
camping,el camping
subway,el metro
to check out,hacer el check out
checkout,el check out
boutique,boutique
chain,la cadena
suite,la suite
valet,el valet
sofa bed,el sofá-cama
rate,la tarifa
sauna,el/la sauna
sheet,la sábana
lobby,el lobby
pool,la piscina
hot tub,el Jacuzzi
inn,la posada
housekeeping,el servicio de limpieza
deposit,la fianza
rollaway bed,la cama plegable
cot,la cama plegable
continental breakfast,el desayuno continental
buffet,el buffet
resort,el complejo turístico
resort,el centro vacacional
bellhop,el/la botones
documentation,la documentación
hand luggage,el equipaje de mano
fare,el pasaje
green card,la tarjeta verde
layover,la escala
to take a picture,hacer una foto
to go swimming,ir a nadar
to go hiking,hacer senderismo
to go sightseeing,hacer turismo
to go sightseeing,ver las atracciones
honeymoon,la luna de miel
outing,la excursión
timetable,el horario
itinerary,el itinerario
border,la frontera
delay,el retraso
to go abroad,ir al extranjero
go hiking,hacer caminata
customs,el derecho de aduana
to take a tour,hacer una gira
late,atrasado
stay,la estancia
to get on the plane,subir al avión
to make a reservation,hacer una reservación
to travel by plane,viajar en avión
ticket office,la taquilla
luxury hotel,el hotel de lujo
snack,el tentempié
drink,la bebida
foggy,de niebla
sunny,soleado
misty,brumoso
snowy,nevoso
takeoff,el despegue
airplane ticket,el boleto de avión
rainy,lluvioso
departure lounge,la sala de embarque
windy,ventoso
bolt of lightning,el relámpago
tarmac,el asfalto
safety belt,el cinturón de seguridad
ounce,la onza
carry-on bag,el equipaje de mano
excess baggage,exceso de equipaje
oxygen mask,la máscara de oxígeno
landing,el aterrizaje
departure time,la hora de salida
emergency exit,la salida de emergencia
carry-on,el equipaje de mano
airplane,el aeroplano
bathroom,el servicio
restroom,el baño
to declare,declarar
customs agent,el/la agente de aduana
gate,la puerta
X-rays,rayos X
passport control,el control de pasaportes
thunder,el trueno
thunderclap,el trueno
behind,de retraso
ID,la identificación
foreign,extranjero
