country,el país
to compete,competir
to teach,enseñar
season,la estación
plane,el avión
sure,seguro
square,la plaza
small,pequeño
to send,enviar
to come,venir
one hundred,cien
journalist,el/la periodista
development,el desarrollo
earthquake,el terremoto
last night,anoche
Monday,el lunes
to put,poner
silver,la plata
gold,el oro
coat,el abrigo
to see,ver
blue,azul
car,el coche
Sunday,el domingo
exam,el examen
to pay,pagar
to be able to,poder
bed,la cama
good night,buenas noches
artist,el/la artista
gray,gris
green,verde
white,blanco
black,negro
yellow,amarillo
red,rojo
brown,el marrón
orange,anaranjado
purple,morado
pink,rosado
color,el color
to do,hacer
to say,decir
to go out,salir
to want,querer
to speak,hablar
boyfriend,el novio
movie theater,el cine
to have,tener
to ask for,pedir
to take,tomar
boring,aburrido
food,la comida
rich,rico
calm,tranquilo
to go,ir
to eat,comer
to return,volver
young,joven
countryside,el campo
music,la música
to know,saber
to start,empezar
on,sobre
to hurt,doler
store,la tienda
coffee,el café
big,grande
to be,estar
to live,vivir
to get up,levantarse
fun,divertido
film,la película
clothing,la ropa
kitchen,la cocina
water,el agua
month,el mes
January,el enero
February,el febrero
March,el marzo
April,el abril
May,el mayo
June,el junio
July,el julio
August,el agosto
September,el septiembre
October,el octubre
November,el noviembre
December,el diciembre
summer,el verano
winter,el invierno
fall,el otoño
spring,la primavera
week,la semana
Tuesday,el martes
Wednesday,el miércoles
Thursday,el jueves
Friday,el viernes
Saturday,el sábado
to lose,perder
also,también
to go to bed,acostarse
to dance,bailar
someone,alguien
table,la mesa
a lot of,mucho
company,la empresa
bag,la bolsa
forest,el bosque
some,alguno
pollution,la contaminación
to be,ser
to arrive,llegar
to know,conocer
to sleep,dormir
should,deber
after,después
to tell,contar
nice,simpático
to spend,gastar
house,la casa
chair,la silla
happy,contento
hardworking,trabajador
fish,el pescado
actor,el actor
mall,el centro comercial
market,el mercado
never,nunca
schedule,el horario
yesterday,ayer
today,hoy
tomorrow,mañana
weekend,el fin de semana
before,antes
day,el día
year,el año
jacket,la chaqueta
shy,tímido
doctor,el médico
history,la historia
bank,el banco
