person,la persona
photo,la foto
to produce,producir
Spain,España
very good,muy bien
moon,la luna
with me,conmigo
solution,la solución
business,el negocio
author,el autor
dance,el baile
famous,famoso
pasta,la pasta
activity,la actividad
more or less,más o menos
social,social
sun,el sol
hard,duro
poet,el/la poeta
island,la isla
international,internacional
original,original
cup,la taza
crazy,loco
science,la ciencia
letter,la letra
to create,crear
good morning,buenos días
personal,personal
Russian,el ruso
reception,la recepción
banana,la banana
card,la tarjeta
adventure,la aventura
wedding,la boda
traffic,el tráfico
society,la sociedad
husband,el marido
flexible,flexible
organized,organizado
to smile,sonreír
north,el norte
snow,la nieve
to communicate,comunicarse
camera,la cámara
sky,el cielo
degree,el grado
active,activo
palace,el palacio
our,nuestro
to reserve,reservar
rose,la rosa
to smoke,fumar
kilo,kilo
plastic,el plástico
pure,puro
verb,el verbo
Christmas,la Navidad
world,el mundo
equal,igual
communication,la comunicación
community,la comunidad
hunger,el hambre
ecology,la ecología
curious,curioso
potato,la papa
to be cold,tener frío
precious,precioso
patio,el patio
to jump,saltar
to inform,informar
violence,la violencia
fresh,fresco
girl,la niña
tooth,el diente
fantastic,fantástico
message,el mensaje
cold,frío
modest,modesto
lemon,el limón
critic,el crítico
vacation,la vacación
memory,la memoria
conservation,la conservación
wine,el vino
graduation,la graduación
radio,el radio
biology,la biología
metal,el metal
normally,normalmente
space,el espacio
invitation,la invitación
action,la acción
shower,la ducha
golf,el golf
insecurity,la inseguridad
clear,claro
professional,profesional
good afternoon,buenas tardes
traditional,tradicional
gram,el gramo
service,el servicio
region,la región
to be hungry,tener hambre
to decide,decidir
reason,la razón
biography,la biografía
Argentina,la Argentina
accident,el accidente
to decorate,decorar
horrible,horrible
Internet,el/la Internet
euro,el euro
novelist,el/la novelista
sauce,la salsa
to manipulate,manipular
temperature,la temperatura
bicycle,la bicicleta
car,el carro
language,la lengua
editor,el editor
protection,la protección
industry,la industria
to vote,votar
beer,la cerveza
motorcycle,la moto
terrible,terrible
Mexican,el mexicano
course,el curso
coast,la costa
electricity,la electricidad
model,el/la modelo
operation,la operación
racism,el racismo
air,el aire
past,el pasado
fire,el fuego
creative,creativo
to transmit,transmitir
economy,la economía
to kiss,besar
Italian,el italiano
material,el material
cousin,la prima
physics,la física
project,el proyecto
where,adónde
generous,generoso
salmon,el salmón
station,la estación
geography,la geografía
dream,el sueño
nationality,la nacionalidad
mineral water,el agua mineral
juice,el jugo
idealist,el/la idealista
cathedral,la catedral
gasoline,la gasolina
last,último
hot,caliente
especially,especialmente
pilot,el/la piloto
bear,el oso
pineapple,la piña
age,la edad
Brazil,Brasil
route,la ruta
to be thirsty,tener sed
title,el título
victim,la víctima
respect,el respeto
clothing store,la tienda de ropa
cow,la vaca
to control,controlar
to take pictures,tomar fotos
incredible,increíble
fax,el fax
king,el rey
destruction,la destrucción
to consume,consumir
battery,la batería
Argentinian,el argentino
yoga,el yoga
opportunity,la oportunidad
blog,el blog
television,la televisión
to love,amar
baby,el/la bebé
regular,regular
to describe,describir
diet,la dieta
band,la banda
defect,el defecto
goodbye,adiós
to publish,publicar
box,la caja
bull,el toro
normal,normal
digital camera,la cámara digital
heat,el calor
Russia,Rusia
to announce,anunciar
to be hot,tener calor
musical,el musical
rhythm,el ritmo
artistic,artístico
agriculture,la agricultura
lemonade,la limonada
peace,la paz
potato,la patata
tourist,el/la turista
attractive,atractivo
Africa,África
formal,formal
separated,separado
quality,la cualidad
quickly,rápidamente
drawing,el dibujo
monkey,el mono
mark,la marca
style,el estilo
American football,el fútbol americano
to have to,tener que
anniversary,el aniversario
poem,el poema
planet,el planeta
soon,pronto
to go to,ir a
ballet,el ballet
informal,informal
businesswoman,la mujer de negocios
Canada,Canadá
economic,económico
full,lleno
check,el cheque
law,la ley
drug,la droga
video,el video
temple,el templo
enormous,enorme
contaminated,contaminado
violent,violento
discrimination,la discriminación
capital,la capital
next,próximo
independent,independiente
object,el objeto
mistake,el error
favorite,favorito
work of art,la obra de arte
to interest,interesar
roast chicken,el pollo asado
to bore,aburrir
port,el puerto
to go to the movies,ir al cine
rule,la regla
salary,el salario
popular,popular
to fly,volar
sushi,el sushi
siblings,los hermanos
castle,el castillo
racket,la raqueta
to dream,soñar
useful,útil
cream,la crema
stepsister,la hermanastra
photography,la fotografía
India,la India
generosity,la generosidad
to appear,aparecer
liter,el litro
to have an appointment,tener una cita
to build,construir
to be called,llamarse
to steal,robar
to kill,matar
balcony,el balcón
antibiotic,el antibiótico
origin,el origen
blood,la sangre
studious,estudioso
experience,la experiencia
Asia,Asia
recipe,la receta
allergy,la alergia
red wine,el vino tinto
fried,frito
hockey,el hockey
specialty,la especialidad
thank you very much,muchas gracias
outside,fuera
perfume,el perfume
scene,la escena
boy,el muchacho
pension,la pensión
series,la serie
disorganized,desorganizado
sincere,sincero
to lie,mentir
patience,la paciencia
receptionist,el recepcionista
to worry,preocuparse
to put on makeup,maquillarse
white wine,el vino blanco
to fish,pescar
punctual,puntual
divorced,divorciado
success,el éxito
weight,el peso
to fascinate,fascinar
to get sick,enfermarse
of course,por supuesto
bag,el bolso
family,familiar
beautiful,hermoso
to prohibit,prohibir
volcano,el volcán
dark,oscuro
to go out with,salir con
to wash the dishes,lavar los platos
paella,la paella
time,la vez
stress,el estrés
character,el carácter
flag,la bandera
interest,el interés
